name,rating,user_ratings_total,price_level,vicinity,formatted_address,place_id,types,business_status,formatted_phone_number,website,opening_hours,reviews_count,category,generated_review
The Marker Union Square San Francisco,4.1,1673,4,"501 Geary Street, San Francisco",,ChIJK3PRMI6AhYARYG5SMzRLKjo,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at The Marker Union Square San Francisco. The dishes were well-prepared and the staff was friendly. The upscale atmosphere adds to the dining experience.
Zuni Café,4.4,2442,3,"1658 Market Street, San Francisco",,ChIJO7u9q5-AhYARiSSXyWv9eJ8,"cafe, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Coffee | Bar/Lounge | Fine Dining,Zuni Café offers a solid dining experience with good quality food and reasonable prices.
Brenda's French Soul Food,4.5,6042,2,"652 Polk Street, San Francisco",,ChIJZ9s5SJeAhYARIX3Fxl6oj6c,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,French | Casual Dining,Absolutely amazing experience at Brenda's French Soul Food! The food was exceptional and the service was top-notch. Highly recommend!
Jasper's Corner Tap and Kitchen,3.8,848,2,"401 Taylor Street, San Francisco",,ChIJsYeEyY-AhYARFukSYv7t_3Q,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Average experience at Jasper's Corner Tap and Kitchen. The food meets basic expectations but could be better.
DNA Lounge,4.1,1585,2,"375 11th Street, San Francisco",,ChIJc_iInSh-j4ARUkdU9Rr5lFI,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Casual Dining,DNA Lounge offers a solid dining experience with good quality food and reasonable prices.
The Cavalier,4.4,1011,3,"360 Jessie Street, San Francisco",,ChIJUUjhfoaAhYARRuSNp1R18vs,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,The Cavalier offers a solid dining experience with good quality food and reasonable prices.
Absinthe Brasserie & Bar,4.4,1748,3,"398 Hayes Street, San Francisco",,ChIJ1T-IlZiAhYAR5m-Mps4qLFk,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,French | Bar/Lounge | Fine Dining,Really enjoyed my meal at Absinthe Brasserie & Bar. The food was tasty and the service was prompt.
Nopa,4.5,2906,3,"560 Divisadero Street, San Francisco",,ChIJ_dQjyK-AhYARBc9DFlxcclg,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,One of the best restaurants I've ever been to. Nopa delivers quality that matches their excellent reputation.
Pancho Villa Taqueria,4.3,3979,1,"3071 16th Street, San Francisco",,ChIJJ50NrSN-j4ARtLkebWzfDGc,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Mexican | Casual Dining,Really enjoyed my meal at Pancho Villa Taqueria. The food was tasty and the service was prompt.
Zeitgeist,4.3,3043,1,"199 Valencia Street, San Francisco",,ChIJU889QiB-j4ARzQofqaFrMJU,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at Zeitgeist. The food was tasty and the service was prompt.
John's Grill,4.4,4346,3,"63 Ellis Street, San Francisco",,ChIJe9MuVY-AhYARb8Su4vUOneY,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Really enjoyed my meal at John's Grill. The food was tasty and the service was prompt.
State Bird Provisions,4.5,2266,3,"1529 Fillmore Street, San Francisco",,ChIJQ7kGpLmAhYARKeCe2pDobWk,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,One of the best restaurants I've ever been to. State Bird Provisions delivers quality that matches their excellent reputation.
Alexander's Steakhouse,4.5,1077,4,"165 O'Farrell Street 3rd Floor, San Francisco",,ChIJVST7ANZ_j4ARbkYi2s36GQ8,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,American | Bar/Lounge | Fine Dining,Alexander's Steakhouse exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
Suppenküche,4.5,1889,2,"525 Laguna Street, San Francisco",,ChIJ8fbCTqKAhYAR9Uu7AyP5FyE,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,One of the best restaurants I've ever been to. Suppenküche delivers quality that matches their excellent reputation.
The Cheesecake Factory,3.8,4320,2,"251 Geary Street 8th Floor, San Francisco",,ChIJG-PkK4-AhYARxW6vm0X9kCQ,"restaurant, meal_takeaway, bakery, food, point_of_interest, store, establishment",OPERATIONAL,,,Open Now,0,Dessert | Casual Dining,Average experience at The Cheesecake Factory. The food meets basic expectations but could be better.
Tommy's Joynt,4.4,4061,1,"1101 Geary Boulevard, San Francisco",,ChIJUyoRf5aAhYAR4449E3H2WiQ,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at Tommy's Joynt. The food was tasty and the service was prompt.
The Valencia Room,3.9,912,1,"647 Valencia Street, San Francisco",,ChIJYx9e1yJ-j4AR6T2g6bdG1ss,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,The Valencia Room is a reliable choice for a casual meal. Food quality is acceptable.
Limón,4.4,2019,2,"524 Valencia Street, San Francisco",,ChIJkz3yWSJ-j4AR5EejAF8BaLU,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Great food and service at Limón. The dishes were well-prepared and the staff was friendly.
Johnny Foley's Irish House,4.4,3695,2,"243 O'Farrell Street, San Francisco",,ChIJYQrxFI-AhYARSkQbx58DuHE,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at Johnny Foley's Irish House. The food was tasty and the service was prompt.
Fairmont San Francisco,4.5,7000,,"950 Mason Street, San Francisco",,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw,"lodging, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Unknown,0,Other | Casual Dining,Fairmont San Francisco exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
The Stinking Rose,4.2,4386,3,"430 Columbus Avenue, San Francisco",,ChIJW52Si_OAhYAR-jAC1-iQh_c,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Really enjoyed my meal at The Stinking Rose. The food was tasty and the service was prompt.
Perbacco,4.4,970,3,"230 California Street, San Francisco",,ChIJNy8VmmGAhYARQF84_9twEc4,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Fine Dining,Really enjoyed my meal at Perbacco. The food was tasty and the service was prompt.
