name,rating,user_ratings_total,price_level,vicinity,formatted_address,place_id,types,business_status,formatted_phone_number,website,opening_hours,reviews_count
Park Lane Hotel New York,4,3167,,"36 Central Park South South, New York","36 Central Park S South, New York, NY 10019, USA",ChIJmU5P6vBYwokRO73p8vAMXUE,"bar, lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 371-4000,https://www.parklanenewyork.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,Unknown,5
Kimpton Hotel Eventi,4.4,2127,3,"851 6th Avenue, New York","851 6th Ave, New York, NY 10001, USA",ChIJ_U_NR69ZwokRkOaA92AjJ4U,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 564-4567,https://www.hoteleventi.com/?&cm_mmc=WEB-_-KI-_-AMER-_-EN-_-EV-_-Google%20Business%20Profile-_-DD-_-eventi,Open Now,5
Connolly's,4.4,4790,2,"121 West 45th Street, New York","121 W 45th St, New York, NY 10036, USA",ChIJAS6GeVVYwokRPfg8xt4nH-I,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 597-5126,https://www.connollyspubandrestaurant.com/,Open Now,5
TAO Uptown,4.2,4204,3,"42 East 58th Street, New York","42 E 58th St, New York, NY 10022, USA",ChIJh3qVsvpYwokRVtJoHuKeQ3M,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 888-2288,https://taorestaurant.com/,Closed,5
Carmine's - Time Square,4.5,17838,2,"200 West 44th Street, New York","200 W 44th St, New York, NY 10036, USA",ChIJR9So-lRYwokRX1xEjA0rChA,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 221-3800,https://www.carminesnyc.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,Open Now,5
Bryant Park Grill,4.3,3100,2,"25 West 40th Street, New York","25 W 40th St, New York, NY 10018, USA",ChIJqTF1eABZwokR3ZMQ2obIW4w,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,(212) 840-6500,https://bryantparkgrillnyc.com/,Closed,5
YOTEL New York Times Square,3.9,9024,,"570 Tenth Avenue At, West 42nd Street, New York","570 Tenth Avenue At, W 42nd St, New York, NY 10036, USA",ChIJpY9Tg01YwokRCr_aQpDrqgk,"bar, lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,(646) 449-7700,https://www.yotel.com/en/hotels/yotel-new-york?utm_source=Google&utm_medium=Yext_YONYC,Unknown,5
Grand Central Oyster Bar,4.2,4385,2,"89 East 42nd Street, New York","89 E 42nd St, New York, NY 10017, USA",ChIJR9legAFZwokRa1s5gcFXPZw,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 490-6650,http://www.oysterbarny.com/,Closed,5
Blue Fin,4.2,1124,3,"1567 Broadway, New York","1567 Broadway, New York, NY 10036, USA",ChIJzz-PyFVYwokRwp5z0KduYls,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 918-1400,https://www.bluefinnyc.com/location/blue-fin/,Closed,5
Shake Shack Theater District,4.4,14578,2,"691 8th Avenue, New York","691 8th Ave, New York, NY 10036, USA",ChIJhXAgf1NYwokRBzdqc2TRX_I,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,(646) 435-0135,https://www.shakeshack.com/location/theater-district-ny?utm_source=google&utm_medium=listing,Open Now,5
Ellen's Stardust Diner,4.4,22166,2,"1650 Broadway, New York","1650 Broadway, New York, NY 10019, USA",ChIJ_85dJlZYwokR29NPLSJngR4,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 956-5151,https://www.ellensstardustdiner.com/,Open Now,5
Del Frisco's Double Eagle Steakhouse,4.5,5566,4,"1221 Avenue of the Americas, New York","1221 Ave of the Americas, New York, NY 10020, USA",ChIJE1bnSP9YwokRDK7Zxnt23gE,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 575-5129,https://www.delfriscos.com/location/del-friscos-double-eagle-steakhouse-new-york-ny/,Closed,5
Morton's The Steakhouse,4.5,1933,4,"551 5th Avenue, New York","551 5th Ave, New York, NY 10017, USA",ChIJR7SnMP5YwokR-8MZMiv4mJ0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 972-3315,https://www.mortons.com/location/mortons-the-steakhouse-new-york-ny-manhattan/,Closed,5
Keens Steakhouse,4.6,9061,4,"72 West 36th Street, New York","72 W 36th St., New York, NY 10018, USA",ChIJ5804KalZwokRzGll2Rm7nag,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 947-3636,http://www.keens.com/,Open Now,5
Pershing Square,4.2,4613,2,"90 East 42nd Street, New York","90 E 42nd St, New York, NY 10017, USA",ChIJBRoSgwFZwokRUSh30OTrJ6A,"bar, cafe, restaurant, food, store, point_of_interest, establishment",OPERATIONAL,(212) 286-9600,https://pershingsquare.com/,Closed,5
burger joint,4.3,8671,2,"119 West 56th Street, New York","119 W 56th St, New York, NY 10019, USA",ChIJwfFb4flYwokRP78kZ3ER5a8,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 708-7414,https://www.burgerjointny.com/,Open Now,5
Hard Rock Cafe,4.4,23836,2,"1501 Broadway, New York","1501 Broadway, New York, NY 10036, USA",ChIJh3tl5lRYwokRtY1QuaZADu0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 343-3355,https://cafe.hardrock.com/new-york/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,Open Now,5
Red Lobster,4.2,10435,2,"Five Times Square, West 41st Street, New York","Five Times Square, W 41st St, New York, NY 10036, USA",ChIJc4euylRYwokRnweuR3UzKYI,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 730-6706,https://www.redlobster.com/seafood-restaurants/locations/ny/new-york/5-times-square-nyc5,Open Now,5
Per Se,4.5,1948,4,"10 Columbus Circle, New York","10 Columbus Cir, New York, NY 10019, USA",ChIJp3PsL_ZYwokRZYqs_40RJF4,"restaurant, food, point_of_interest, establishment",OPERATIONAL,(212) 823-9335,https://www.thomaskeller.com/perseny,Closed,5
Planet Hollywood,3.9,3666,2,"1540 Broadway, New York","1540 Broadway, New York, NY 10036, USA",ChIJf2_0qFVYwokRu7dmhsHUrpo,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,https://locations.planethollywoodintl.com/us/ny/new-york/1540-broadway?y_source=1_NDgxNzY3OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,Unknown,5
